Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Sports Nutritionist,QG-06-SP-00922-2023-V1-SPEFLSC,"A sports nutritionist is a specialized professional who works with athletes and fitness enthusiasts to help them optimize their diet and nutrition for peak physical performance. They also work with athletes to develop strategies for weight management and recovery after injury. They may collaborate with coaches, trainers to ensure a comprehensive approach to an athlete's overall health and performance.","Sports, Physical Education, Fitness & Leisure",Level 6,660 Hours,660 Hours,Version ,31 Aug 2023,31 Aug 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",Diet & Nutrition Consulting,Level-7 (Vertical)- Lifestyle Coach,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""300"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""120""}",QG-06-SP-00922-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Sports%20Nutritionist.pdf,553
Store Manager-Sports,QG-06-SP-00925-2023-V1-SPEFLSC,"The Store Manager-Sports is responsible for overseeing the day-to-day operations of a retail store that sells sports-related products. This job role involves managing a team of sales associates, ensuring that the store meets sales goals, and providing excellent customer service to customers.","Sports, Physical Education, Fitness & Leisure",Level 6,660 Hours,660 Hours,Version ,31 Aug 2023,31 Aug 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",Sports Retail,Level-7 (Vertical)- Regional Head,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""300"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""120""}",QG-06-SP-00925-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Store%20Manager_Sports.pdf,554
Yoga Assistant-Sports,QG-03-SP-00919-2023-V1-SPEFLSC,"Yoga Assistants are professionals who assist yoga trainers and provide support in areas such as session setup, assisting with poses, and monitoring progress of athletes in their yoga practice","Sports, Physical Education, Fitness & Leisure",Level 3,360 Hours,360 Hours,Version ,31 Aug 2023,31 Aug 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",Sports Coaching & Fitness,Level-4 (Vertical)- Yoga Trainer,General Qualification,N.A.,"{""Theory"":""60"",""Practical"":""180"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",QG-03-SP-00919-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Yoga%20Assistant-Sports.pdf,555
Yoga Instructor-Sports,QG-05-SP-00921-2023-V1-SPEFLSC,"A yoga instructor-sports is a highly trained and experienced yoga professional who specializes in working with athlete/clients to help them achieve their highest level of physical and mental performance. This role requires a deep understanding of yogasna and meditation techniques, anatomy, sports medicine, and sports performance, as well as excellent communication and teaching skills","Sports, Physical Education, Fitness & Leisure",Level 5,540 Hours,540 Hours,Version ,31 Aug 2023,31 Aug 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",,Level-6 (Vertical)- Yoga Coach,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""90""}",QG-05-SP-00921-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Yoga%20Instructor-Sports.pdf,556
Mining Rescuer,QG-03-MG-01027-2023-V2-SCMS,"This job role refers to any person who rescues people who have come under accident by fire, gaseous hazards, work at height, inundation, conﬁned space hazards, etc.",Mining,Level 3,600 Hours,420 Hours,Version ,18 Jun 2015,28 Sep 2026,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector>,HSE Functions,"Vertical progression
1.	NSQF Level 4.0 – Mining Rescue Room Incharge, Mining Rescue Room Instructor (to be developed)",General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""90"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",QG-03-MG-01027-2023-V2-SCMS,https://www.nqr.gov.in/qualification/file/QFile%20_%20Mining%20Rescuer%20%20-%2016.10.2024.pdf,557
Yoga Trainer-Sports,QG-04-SP-00920-2023-V1-SPEFLSC,"A yoga trainer is a professional who works with athletes/client to help them improve their physical performance and mental well-being through the practice of basic yoga. The individual, uses yoga to create a positive impact on their performance by reducing stress, improving focus and concentration, and promoting a sense of calm and relaxation.","Sports, Physical Education, Fitness & Leisure",Level 4,450 Hours,450 Hours,Version ,31 Aug 2023,31 Aug 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",,Level-5 (Vertical)- Yoga Instructor-Sports,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",QG-04-SP-00920-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Yoga%20Trainer-Sports.pdf,558
Coal Bed Methane (CBM) Extraction Operator,QG-03-MG-01026-2023-V1-SCMS,The individual in this role is responsible for operating and maintaining methane extraction unit to extract methane from the coal bed.,Mining,Level 3,480 Hours,420 Hours,Version ,29 Sep 2023,28 Sep 2026,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Specialized Operations,"NSQF Level 4 – Mine Roof Bolter, Ventilation Checker cum Fan Operator",General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",QG-03-MG-01026-2023-V1-SCMS,https://www.nqr.gov.in/qualification/file/QFile_CBM%20Extraction%20Operator%20-%2025.10.2024.pdf,559
Sports Goods Craftsperson,QG-04-SP-01018-2023-V1-SPEFLSC,"Sports goods craftsperson produce, assemble, and finish multiple varieties of sports equipment such as balls, bats and racquets of all types and categories. They have the experience of working with different types of materials like rubber, leather, wood, plastic, etc. used in the production of popular sports equipment. 
.","Sports, Physical Education, Fitness & Leisure",Level 4,450 Hours,450 Hours,Version ,29 Sep 2023,29 Sep 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",Sports Manufacturing,Level-5 (Vertical)- Sports Goods Production Supervisor,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",QG-04-SP-01018-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Sports%20Goods%20Craftsperson.pdf,560
Computer Operator and Network Assistant,QG-03-IT-00735-2023-V1-GCVT,"The trainee, after successful completion of training, will have following skills…

1.	Working with operating system 
2.	Install and setup O.S. and Related Software in Computer
3.	Understanding Networks
4.	Create, Format, Edit Documents using Word processing application Software
5.	Create, Format, Edit Spreadsheet using Excel application software
6.	Create, Format, Edit Presentation using Powerpoint application software
7.	Database Management with MS Access
8.	Employability Skills",IT-ITeS,Level 3,420 Hours,420 Hours,Version ,31 Aug 2023,30 Aug 2026,Gujarat Council of Vocational Training,"Gujarat Council of Vocational Training,
Dr. Jivraj Maheta Bhawan,
Blok No. 1, 2nd Floor, Sector-10,
Gandhinagar, Gujarat-382010,
Phone:- 91-79-23253431
E-mail:- gcvt-exam@gujarat.gov.in",...,"Academic:
Horizontal:
Level 4 DESKTOP PUBLISHING OPERATOR  
Vertical:
Level 3.5 Assistant Technician-IT Installation",General Qualification,N.A.,"{""Theory"":""102"",""Practical"":""208"",""EmployabilitySkills"":""50"",""OJT_Mandatory"":""60""}",QG-03-IT-00735-2023-V1-GCVT,https://www.nqr.gov.in/qualification/file/Computer%20Operator%20and%20Network%20Assistant%20Short%20Term%20Final.pdf,561
TELECOM GRAMEEN UDHYAMI,QG-04-TL-00929-2023-V1-TSSC,"The individual in this job role will install, configure, and test CPE, Wi-Fi equipment, and OFCs for broadband access. They will also perform handset repair and conduct post-service testing. Additionally, as an entrepreneur (udhyami), they can establish a tech business offering diverse telecom, basic IT, and handset repair services in the village.",Telecom,Level 4,600 Hours,600 Hours,Version ,31 Aug 2023,31 Aug 2026,Telecom Sector Skill Council (TSSC),"Telecom Sector Skill Council
Email:    tssc@tsscindia.com                                                                                                         
Contact No.: 0124-4148029
Website:  https://www.tsscindia.com",,"Vertical progression 
NSQF Level 5 – Telecom Infrastructure Engineer/Outside Plant Fiber Installation, Testing and Commissioning Supervisor/Handset Repair - Sr. Executive/Broadband Supervisor
Horizontal progression 
Handheld Devices (Handset & Tablet) Technician/Wireless Technician/Broadband Technician",Future Skills Qualification,N.A.,"{""Theory"":""230"",""Practical"":""190"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-04-TL-00929-2023-V1-TSSC,https://www.nqr.gov.in/qualification/file/Q%20File%20-%20Telecom%20Grameen%20Udhyami,562
5G System Integrator,QG-05-TL-00930-2023-V1-TSSC,"5G System Integrator is responsible for designing, implementing, and maintaining 5G network. The individual collaborates with cross-functional teams to develop and optimize network solutions, ensuring high-speed connectivity, low latency, and reliable performance. Their duties include planning network architecture, troubleshooting network issues, conducting system testing, and staying updated with emerging 5G technologies. They also play a crucial role in enabling the deployment and efficient operation of 5G networks to support the evolving demands of the telecommunications industry.",Telecom,Level 5,570 Hours,570 Hours,Version ,31 Aug 2023,31 Aug 2026,Telecom Sector Skill Council (TSSC),"Telecom Sector Skill Council
Email:    tssc@tsscindia.com                                                                                                         
Contact No.: 0124-4148029
Website:  https://www.tsscindia.com",,"Vertical progression 
NSQF Level 6 – Cluster Manager
Horizontal progression 
NSQF Level 5 – Project Engineer - 5G Networks",Future Skills Qualification,N.A.,"{""Theory"":""180"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",QG-05-TL-00930-2023-V1-TSSC,https://www.nqr.gov.in/qualification/file/Q%20File%20-%205G%20System%20Integrator,563
Assistant-Sewing Machine Operator (Divyangjan)-ID,QG-02-PD-00873-2023-V1-SCPWD,"A Sewing Machine Operator, is an important job-role associated with Apparel sector, Made-Ups and Home Furnishing Industry. The primary responsibility of a SMO is to stitch specific garments with desired quality.",Persons with Disability,Level 2,820 Hours,820 Hours,Version ,31 Aug 2023,31 Aug 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,"Apparel, Made-Ups & Home Furnishing",Specialized Sewing Machine Operator (Level 2),General Qualification,N.A.,"{""Theory"":""190"",""Practical"":""560"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""0""}",QG-02-PD-00873-2023-V1-SCPWD,https://www.nqr.gov.in/qualification/file/Q%20file%20_Assistant-Sewing%20Machine%20Operator%20%28Divyangjan%29%20ID.pdf_%20%282%29.pdf,564
Assistant-Sewing Machine Operator (Divyangjan)-MD,QG-02-PD-00874-2023-V1-SCPWD,"A Sewing Machine Operator, is an important job-role associated with Apparel sector, Made-Ups and Home Furnishing Industry. The primary responsibility of a SMO is to stitch specific garments with desired quality.",Persons with Disability,Level 2,780 Hours,780 Hours,Version ,31 Aug 2023,31 Aug 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Sewing,Specialized Sewing Machine Operator (Level 2),General Qualification,N.A.,"{""Theory"":""190"",""Practical"":""560"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",QG-02-PD-00874-2023-V1-SCPWD,https://www.nqr.gov.in/qualification/file/Q%20File%20_Assistant-Sewing%20Machine%20Operator%20%28Divyangjan%29%20MD%2021%20SEP.pdf,565
Helper-Small Poultry Farmer  (Divyangjan)- ID,QG-02-PD-00875-2023-V1-SCPWD,"Small Poultry Farmer is responsible for raising different types of domestic birds for the purpose of egg and/or meat production The individual ensures proper care of the poultry birds, their health and productivity, meat and/or egg production",Persons with Disability,Level 2,460 Hours,460 Hours,Version ,31 Aug 2023,31 Aug 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Poultry Farming,Small Poultry Farmer (Level 2),General Qualification,N.A.,"{""Theory"":""95"",""Practical"":""295"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""0""}",QG-02-PD-00875-2023-V1-SCPWD,https://www.nqr.gov.in/qualification/file/Q%20file%20_%20Helper-%20Small%20Poultry%20Farmer%20%28Divyangjan%29%20ID%2021%20Sep.pdf_.pdf,566
Helper-Small Poultry Farmer  (Divyangjan)- MD,QG-02-PD-00876-2023-V1-SCPWD,"Small Poultry Farmer is responsible for raising different types of domestic birds for the purpose of egg and/or meat production The individual ensures proper care of the poultry birds, their health and productivity, meat and/or egg production",Persons with Disability,Level 2,460 Hours,460 Hours,Version ,31 Aug 2023,31 Aug 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Poultry Farming,Small Poultry Farmer (Level 2),General Qualification,N.A.,"{""Theory"":""95"",""Practical"":""295"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""0""}",QG-02-PD-00876-2023-V1-SCPWD,https://www.nqr.gov.in/qualification/file/Q-file_Helper-Small%20Poultry%20Farmer_%28Divyangjan%29%20MD%2021%20SEP%20%282%29.pdf,567
HR Executive –Payroll and Employee Data Management  (Divyangjan) -LD,QG-04-PD-00882-2023-V1-SCPWD,"The HR Executive – Payroll and Employee Data Management maintains employee data for the Human Resource (HR) department and compiles all necessary payroll data, enters it into the organisation’s data system, calculates each employee’s respective pay, computing statutory and tax related entitlements and deductions and co-ordinates with the accounts department for disbursements and fund transfers.",Persons with Disability,Level 4,520 Hours,520 Hours,Version ,31 Aug 2023,28 Feb 2027,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Human Resource Management,Compensation and Benefits Analyst (Level 4),General Qualification,Management,"{""Theory"":""150"",""Practical"":""270"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""30""}",QG-04-PD-00882-2023-V1-SCPWD,https://www.nqr.gov.in/qualification/file/Q-File_LD_HR%20EXECUTIVE.pdf,568
